keys,tr
ENGLISH,ENGLISH
START,BAŞLA
OPTIONS,AYARLAR
CREDITS,EMEĞİ GEÇENLER
EXIT,ÇIKIŞ
HOLD TO EXIT,ÇIKMAK İÇİN '%s' BASILI TUT …
AUDIO/VIDEO,SES,GÖRÜNTÜ
CONTROLLER,KONTROLLER
OPTIONS LANGUAGE,DİL
NAVIGATE UP,YUKARI GİT
NAVIGATE DOWN,AŞAĞI GİT
NAVIGATE LEFT,SOLA GİT
NAVIGATE RIGHT,SAĞA GİT
RESTART,BAŞTAN BAŞLA
BACK,GERİ
EXIT BUTTON,OYUNDAN ÇIK
SELECT,SEÇ
REBINDING,TUŞ ATAMALARINI DÜZENLE
KEY IN USE,BU TUŞ ZATEN ŞURAYA ATANMIŞ %s. BU ATAMAYI TEKRAR DÜZENLEMEK İSTİYOR MUSUN?
PRESS ANY BUTTON REMAP,HERHANGİ BİR YERE BAS
RESET KEYBINDS,TUŞ ATAMALARINI SIFIRLA
SELECT DEVICE,CİHAZ SEÇ
,
RETURN,GERİ
MAIN CREDITS,"KODLAMA, ÇİZİM VE SESLENDİRME MİKE KLUBNIKA TARAFINDAN YAPILDI
DANİEL MULLİNS'İN ÇALIŞMALARINDAN İLHAM ALINDI

MİA ROSADO TARAFINDAN HAZIRLANMIŞ "BLOODSPLATTER FX PAKETİ" CREATIVE COMMONS ATRIBUTION 4.0 LİSANSI TARAFINDAN LİSANSLANDI

NICK, POPSTONIA, EKU VE PATTHEHYRULER TARAFINDAN OYUN TEST EDİLDİ

OYNADIĞIN İÇİN TEŞEKKÜRLER!"
INTERACT WITH,ETKİLEŞİME GEÇMEK İÇİN
CONSUME,HAPLARI KULLAN?
DEALER,KURPİYER
YOU,SEN
YES,EVET
NO,HAYIR
DOUBLE,"İKİYE KATLA VEYA ÇEKİL?"
WAIVER,LÜTFEN FERAGATNAMEYİ İMZALAYINIZ.
WELCOME,TEKRAR HOŞGELDİN.
YOURE LUCKY,"HAYATA DÖNDÜĞÜN İÇİN ŞANSLISIN!"
GET UP,"AYAĞA KALK, %s!"
THE NIGHT,GECE DAHA YENİ BAŞLIYOR.
SHELL INSERT1,"KOVANLARI BİLİNMEYEN BİR SIRA İLE KOYUYORUM."
SHELL INSERT2,"HAZNEYE BİLİNMEYEN BİR SIRA İLE YERLEŞTİRİLİYOR."
LIVEROUND,%s DOLU FİŞEK.
LIVEROUNDS,%s DOLU FİŞEKLER.
BLANKROUND,%s BOŞ FİŞEK.
BLANKROUNDS,%s BOŞ FİŞEKLER.
ITEMS EACH,%s KİŞİ BAŞINA DÜŞEN EŞYALAR.
MORE ITEMS,"HER DOLUMDAN ÖNCE DAHA ÇOK EŞYA."
NO SPACE,YER KALMADI.
UNFORTUNATE,TÜH, TALİHSİZLİĞE BAK ...
MORE INTERESTING,"HADİ ŞUNU BİRAZCIK DAHA İLGİNÇ YAPALIM ..."
INTERESTING,ÇOK İLGİNÇ ...
CAREFUL,"DİKKAT ET ..."
,
SHOTGUN,POMPALI
